category,title,local,date,link
Gastronomia,1º Curso Carne para todo dia,"TAJ Eventos - Campo Grande, MS","Quarta, 19 de Fev às 18:30",https://www.sympla.com.br/evento/1o-curso-carne-para-todo-dia/2805387
Gastronomia,Pratos de Verão,"Zona Sul Supermercado Ipanema - Rio de Janeiro, RJ","Terça, 25 de Fev às 19:00",https://www.sympla.com.br/evento/pratos-de-verao/2805033
Gastronomia,8 CADEIRAS OS RITUAIS DO CHURRASCO ! DA ESCOLHA DA CARNE ATÉ PONTO PERFEITO!,"ramalho experience bbq - Campinas, SP","Terça, 04 de Fev às 19:00",https://www.sympla.com.br/evento/8-cadeiras-os-rituais-do-churrasco-da-escolha-da-carne-ate-ponto-perfeito/2773785
Gastronomia,Boteco Le Canton - 08/02,"Le Canton - Teresópolis, RJ","Sábado, 08 de Fev às 12:00",https://www.sympla.com.br/evento/boteco-le-canton-08-02/2778391
Gastronomia,Wine Class Experience,"Verona Ristorante Brasília - Brasília, DF","Quinta, 30 de Jan às 19:30",https://www.sympla.com.br/evento/wine-class-experience/2801089
Gastronomia,Tour Meow! Venha conhecer a cervejaria Los Gatos!,"Cerveja Los Gatos - Toca Los Gatos - Sorocaba, SP","Sábado, 08 de Fev às 11:00",https://www.sympla.com.br/evento/tour-meow-venha-conhecer-a-cervejaria-los-gatos/2793381
Gastronomia,Curso de Iniciação ao Café Especial: Do Grão à Xícara,"Café e Vinho - Rio de Janeiro, RJ","Sábado, 01 de Fev às 15:00",https://www.sympla.com.br/evento/curso-de-iniciacao-ao-cafe-especial-do-grao-a-xicara/2790549
Gastronomia,Rodizio de Mini Burguer,"Noz Colab - São José dos Campos, SP","Sábado, 01 de Fev às 18:00",https://www.sympla.com.br/evento/rodizio-de-mini-burguer/2799214
Gastronomia,Caldo Kaombo - Uma Imersão nos Sabores de Angola 2ª Edição,"Clube Vizinhança Asa Sul - Brasília, DF","Sábado, 26 de Abr às 12:00",https://www.sympla.com.br/evento/caldo-kaombo-uma-imersao-nos-sabores-de-angola-2a-edicao/2799175
Gastronomia,"Workshop de Segurança de Alimentos, Primeira edição de 2025! Inscrições abertas!","Sindicato dos Hotéis Restaurantes Bares e Similares - Foz do Iguaçu, PR",24 de Jan a 30 de Jan,https://www.sympla.com.br/evento/workshop-de-seguranca-de-alimentos-primeira-edicao-de-2025-inscricoes-abertas/2794390
